ID	Q1	Q3	RT	DP	CE	Compound name	Classes	Identification	SMILES	InChI	Library ID	keggID	Molecular formula	Observed mass (Da)	Exact mass (Da)	Accurate mass error (ppm)	Ionization model	Precursor ions (Q1)	Product ions (Q3)	Q4	Q5	Q6	Q7	Q8
p2535	365.2	86.1	10.7	40	30	mycinolide IV|Myconolide IV	Other	putative	CCC1OC(=O)C=CC(C)C(O)C(C)CC(C)C(=O)C=CC=CC1CO	InChI=1S/C21H32O5/c1-5-19-17(13-22)8-6-7-9-18(23)15(3)12-16(4)21(25)14(2)10-11-20(24)26-19/h6-11,14-17,19,21-22,25H,5,12-13H2,1-4H3	MS000212388		C21H32O5	364.482	364.225	88.5								
p2497	367.3	81.1	12.2	40	30	ProstaglandinE2	Polyphenol	putative	CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)OC	InChI=1S/C21H34O5/c1-3-4-7-10-16(22)13-14-18-17(19(23)15-20(18)24)11-8-5-6-9-12-21(25)26-2/h5,8,13-14,16-18,20,22,24H,3-4,6-7,9-12,15H2,1-2H3	MS000206655		C21H34O5	366.498	366.2406	142.4								
p1453	353.3	261.3	11	40	30	1-O-trans,cis,trans-9,11,13-octadecatrienoyl glycerol	Lipid	putative	CCCCC=CC=CC=CCCCCCCCC(=O)OCC(O)CO	InChI=1S/C21H36O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h5-10,20,22-23H,2-4,11-19H2,1H3	MS000089827		C21H36O4	352.515	352.2614	89								
p1667	576.2	90.1	1.3	40	30	O-alpha-D-glucopyranosyl-(1<*>4)-O-2-acetamido-2-deoxy-alpha-D-glucopyranosyl-(1<*>2)-D-glycero-L-manno-heptose	Sugar	putative	CC(=O)NC1C(OC2C(O)OC(C(O)CO)C(O)C2O)OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C1O	InChI=1S/C21H37NO17/c1-5(26)22-9-11(29)17(38-21-15(33)12(30)10(28)7(3-24)35-21)8(4-25)36-20(9)39-18-14(32)13(31)16(6(27)2-23)37-19(18)34/h6-21,23-25,27-34H,2-4H2,1H3,(H,22,26)	MS000110055		C21H37NO17	575.517	575.2061	23.2								
p1167	352.3	90.1	16.5	40	30	(Z)-3-(1-hydroxyhexadecylidene)-1-methylpyrrolidine-2,4-dione|melophlin A	Lipid	putative	CCCCCCCCCCCCCCCC(O)=C1C(=O)CN(C)C1=O	InChI=1S/C21H37NO3/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-18(23)20-19(24)17-22(2)21(20)25/h23H,3-17H2,1-2H3	MS000056369		C21H37NO3	351.531	351.2773	44								
p2135	371.3	353.3	14.2	40	30	1-vernolin	Lipid	putative	CCCCCC1OC1CC=CCCCCCCCC(=O)OCC(O)CO	InChI=1S/C21H38O5/c1-2-3-10-13-19-20(26-19)14-11-8-6-4-5-7-9-12-15-21(24)25-17-18(23)16-22/h8,11,18-20,22-23H,2-7,9-10,12-17H2,1H3	MS000156660		C21H38O5	370.53	370.2719	56.3								
p1377	370.3	91.1	10.7	40	30	besarhanamide B	Lipid	putative	CCCCCCCCCCCCCC(=O)NC(COC(C)=O)CC(C)=O	InChI=1S/C21H39NO4/c1-4-5-6-7-8-9-10-11-12-13-14-15-21(25)22-20(16-18(2)23)17-26-19(3)24/h20H,4-17H2,1-3H3,(H,22,25)	MS000080170		C21H39NO4	369.546	369.2879	13.1								
p2019	389.3	279.3	11.4	40	30	1-O-acetyl-2-O-[(R)-3-hydroxyhexadecanoyl]-sn-glycerol	Lipid	putative	CCCCCCCCCCCCCC(O)CC(=O)OC(CO)COC(C)=O	InChI=1S/C21H40O6/c1-3-4-5-6-7-8-9-10-11-12-13-14-19(24)15-21(25)27-20(16-22)17-26-18(2)23/h19-20,22,24H,3-17H2,1-2H3	MS000144115		C21H40O6	388.545	388.2825	26.4								
p2195	419.3	223.1	8	40	30	squadinorlignoside	Polyphenol	putative	OCC(=CCc1ccc(O)cc1)c1ccc(OC2OC(CO)C(O)C(O)C2O)cc1	InChI=1S/C22H26O8/c23-11-15(4-1-13-2-7-16(25)8-3-13)14-5-9-17(10-6-14)29-22-21(28)20(27)19(26)18(12-24)30-22/h2-10,18-28H,1,11-12H2	MS000163565		C22H26O8	418.442	418.1628	310.8								
p1551	421.3	177.1	9.8	40	30	stilbostemin H 3'-beta-D-glucopyranoside	Polyphenol	putative	COc1ccc(CCc2cc(O)c(C)c(OC3OC(CO)C(O)C(O)C3O)c2)cc1	InChI=1S/C22H28O8/c1-12-16(24)9-14(4-3-13-5-7-15(28-2)8-6-13)10-17(12)29-22-21(27)20(26)19(25)18(11-23)30-22/h5-10,18-27H,3-4,11H2,1-2H3	MS000099629		C22H28O8	420.458	420.1784	272.1								
p1408	439.2	177.1	9.7	40	30	Phlebotrichin	Polyphenol	putative	C=CC(C)(O)CCC=C(C)C(=O)OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O	InChI=1S/C22H30O9/c1-4-22(3,28)11-5-6-13(2)20(27)29-12-16-17(24)18(25)19(26)21(31-16)30-15-9-7-14(23)8-10-15/h4,6-10,16-19,21,23-26,28H,1,5,11-12H2,2-3H3	MS000083972		C22H30O9	438.473	438.189	8.6								
p1895	435.3	191.1	4.1	40	30	2-hydroxy-3-[(1-oxododecyl)oxy]propyl-beta-D-glucopyranoside	Lipid	putative	CCCCCCCCCCCC(=O)OCC(C)COC1OC(CO)C(O)C(O)C1O	InChI=1S/C22H42O8/c1-3-4-5-6-7-8-9-10-11-12-18(24)28-14-16(2)15-29-22-21(27)20(26)19(25)17(13-23)30-22/h16-17,19-23,25-27H,3-15H2,1-2H3	MS000133424		C22H42O8	434.57	434.288	10.9								
p2325	457.2	325.1	5.8	40	30	Pinnatifin I	Flavonoid	putative	CC(=O)OC1C(CO)OC2(Cc3c(cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)O2)C1O	InChI=1S/C23H20O10/c1-10(25)30-21-18(9-24)33-23(22(21)29)8-13-17(32-23)7-15(28)19-14(27)6-16(31-20(13)19)11-2-4-12(26)5-3-11/h2-7,18,21-22,24,26,28-29H,8-9H2,1H3	MS000181297		C23H20O10	456.403	456.1056	191.1								
p1375	551.3	207.2	5.6	40	30	10-O-beta-D-glucopyranosyl geniposide|genameside D|genipin 1,10-di-O-beta-D-glucopyranoside	Other	putative	COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C(COC3OC(CO)C(O)C(O)C3O)=CCC12	InChI=1S/C23H34O15/c1-33-20(32)10-7-35-21(38-23-19(31)17(29)15(27)12(5-25)37-23)13-8(2-3-9(10)13)6-34-22-18(30)16(28)14(26)11(4-24)36-22/h2,7,9,11-19,21-31H,3-6H2,1H3	MS000080123		C23H34O15	550.51	550.1898	187.1								
p1302	509.2	207.1	5.8	40	30	hedycoryside B	Other	putative	COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C(COC(=O)c3ccc(O)cc3)=CCC12	InChI=1S/C24H28O12/c1-32-22(31)15-10-34-23(36-24-20(29)19(28)18(27)16(8-25)35-24)17-12(4-7-14(15)17)9-33-21(30)11-2-5-13(26)6-3-11/h2-6,10,14,16-20,23-29H,7-9H2,1H3	MS000071226		C24H28O12	508.476	508.1581	68.2								
p2516	517.1	271.1	5.1	40	30	apigenin 7-O-beta-glucoside 3'',4''-diacetate	Flavonoid	putative	CC(=O)OC1C(CO)OC(Oc2cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc3c2)C(O)C1OC(C)=O	InChI=1S/C25H24O12/c1-11(27)33-23-20(10-26)37-25(22(32)24(23)34-12(2)28)35-15-7-16(30)21-17(31)9-18(36-19(21)8-15)13-3-5-14(29)6-4-13/h3-9,20,22-26,29-30,32H,10H2,1-2H3	MS000209322		C25H24O12	516.455	516.1268	66								
p0528	455.2	207.1	8.1	40	30	methyl 3-(3,4-dihydroxyphenyl)-2-[[4-hydroxy-3-(3-methylbut-2-enyl)phenyl]methyl]-4-methoxy-5-oxofuran-2-carboxylate	Other	putative	COC(=O)C1(Cc2ccc(O)c(CC=C(C)C)c2)OC(=O)C(OC)=C1c1ccc(O)c(O)c1	InChI=1S/C25H26O8/c1-14(2)5-7-16-11-15(6-9-18(16)26)13-25(24(30)32-4)21(22(31-3)23(29)33-25)17-8-10-19(27)20(28)12-17/h5-6,8-12,26-28H,7,13H2,1-4H3	MS000011769		C25H26O8	454.475	454.1628	65.9								
p2314	538.3	207.1	8.2	40	30	4-demethyl-simmondsin 2'-ferulate	Polyphenol	putative	COc1cc(C=CC(=O)OC2C(OC3CC(OC)C(O)C(O)C3=CC#N)OC(CO)C(O)C2O)ccc1O	InChI=1S/C25H31NO12/c1-34-16-9-12(3-5-14(16)28)4-6-19(29)38-24-23(33)22(32)18(11-27)37-25(24)36-15-10-17(35-2)21(31)20(30)13(15)7-8-26/h3-7,9,15,17-18,20-25,27-28,30-33H,10-11H2,1-2H3	MS000180028		C25H31NO12	537.518	537.1846	201.3								
p0476	496.4	118.2	8.2	40	30	1-O-hexadecyl-2-C-methyl-3-phosphatidylcholine	Lipid	putative	CCCCCCCCCCCCCCCCOCC(C)(O)COP(=O)([O-])OCC[N+](C)(C)C	InChI=1S/C25H54NO6P/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-21-30-23-25(2,27)24-32-33(28,29)31-22-20-26(3,4)5/h27H,6-24H2,1-5H3	MS000009848		C25H54NO6P	495.682	495.3689	48.1								
p0532	529.2	163.1	8.9	40	30	[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-2-[2,4,6-trihydroxy-3-(4-hydroxybenzoyl)phenyl]oxan-3-yl] 4-hydroxybenzoate	Flavonoid	putative	O=C(OC1C(c2c(O)cc(O)c(C(=O)c3ccc(O)cc3)c2O)OC(CO)C(O)C1O)c1ccc(O)cc1	InChI=1S/C26H24O12/c27-10-17-21(33)23(35)25(38-26(36)12-3-7-14(29)8-4-12)24(37-17)19-16(31)9-15(30)18(22(19)34)20(32)11-1-5-13(28)6-2-11/h1-9,17,21,23-25,27-31,33-35H,10H2	MS000011841		C26H24O12	528.466	528.1268	124.9								
p1369	485.3	109.1	10.1	40	30	Gomojoside N	Other	putative	C=C1CCC2C(C)(CO)CC(O)CC2(C)C1CCC(C)=CCOC1OC(CO)C(O)C(O)C1O	InChI=1S/C26H44O8/c1-15(9-10-33-24-23(32)22(31)21(30)19(13-27)34-24)5-7-18-16(2)6-8-20-25(3,14-28)11-17(29)12-26(18,20)4/h9,17-24,27-32H,2,5-8,10-14H2,1,3-4H3	MS000079681		C26H44O8	484.63	484.3036	22.4								
p2514	565.3	207.1	7.4	40	30	10R-Chrysaloin 1-O-??-D-glucopyranoside	Flavonoid	putative	Cc1cc(OC2OC(CO)C(O)C(O)C2O)c2c(c1)C(C1OC(CO)C(O)C(O)C1O)c1cccc(O)c1C2=O	InChI=1S/C27H32O13/c1-9-5-11-16(26-24(36)22(34)19(31)14(7-28)38-26)10-3-2-4-12(30)17(10)21(33)18(11)13(6-9)39-27-25(37)23(35)20(32)15(8-29)40-27/h2-6,14-16,19-20,22-32,34-37H,7-8H2,1H3	MS000209149		C27H32O13	564.54	564.1843	192.2								
p0641	580.4	332.2	8.2	40	30	MalonylHexCer t18:0	Other	putative	CCCCCCCCCCCCC(O)C(O)C(COC1OC(CC(C(=O)O)C(=O)O)C(O)C(O)C1O)NC(C)=O	InChI=1S/C27H49NO12/c1-3-4-5-6-7-8-9-10-11-12-13-19(30)21(31)18(28-16(2)29)15-39-27-24(34)23(33)22(32)20(40-27)14-17(25(35)36)26(37)38/h17-24,27,30-34H,3-15H2,1-2H3,(H,28,29)(H,35,36)(H,37,38)	MS000015137		C27H49NO12	579.684	579.3255	116.1								
p0911	475.2	133.1	1.3	40	30	Neocalyxin A	Flavonoid	putative	COc1cc2c(c3c1C(=O)CC(c1ccc(O)cc1)O3)C1CC(CCc3ccc(O)cc3)OC1O2	InChI=1S/C28H26O7/c1-32-23-14-24-25(27-26(23)21(31)13-22(34-27)16-5-9-18(30)10-6-16)20-12-19(33-28(20)35-24)11-4-15-2-7-17(29)8-3-15/h2-3,5-10,14,19-20,22,28-30H,4,11-13H2,1H3	MS000030453		C28H26O7	474.509	474.1679	52.4								
p1755	527.2	141.1	4.5	40	30	punarnavoside	Polyphenol	putative	O=C(CCc1ccc(O)cc1)Oc1cc(Cc2ccccc2)c(OC2OC(CO)C(O)C(O)C2O)cc1O	InChI=1S/C28H30O10/c29-15-23-25(33)26(34)27(35)28(38-23)37-21-14-20(31)22(13-18(21)12-17-4-2-1-3-5-17)36-24(32)11-8-16-6-9-19(30)10-7-16/h1-7,9-10,13-14,23,25-31,33-35H,8,11-12,15H2	MS000118530		C28H30O10	526.538	526.1839	16.8								
p0199	609.3	301.2	5	40	30	Chrysoeriol 5-O-rutinoside	Flavonoid	putative	COc1ccc(-c2cc(=O)c3c(OC4OC(COC5OC(C)C(O)C(O)C5O)C(O)C(O)C4O)cc(O)cc3o2)cc1O	InChI=1S/C28H32O15/c1-10-21(32)23(34)25(36)27(40-10)39-9-19-22(33)24(35)26(37)28(43-19)42-18-7-12(29)6-17-20(18)14(31)8-16(41-17)11-3-4-15(38-2)13(30)5-11/h3-8,10,19,21-30,32-37H,9H2,1-2H3			C28H32O15	608.549	608.1741	195.1								
p2602	471.3	177.1	15.1	40	30	6-angeloyloxy-10-p-methoxybenzoyl-jaeschkeanadiol	Polyphenol	putative	CC=C(C)C(=O)OC1CC(C)=CC(OC(=O)c2ccc(OC)cc2)C2(C)CCC(O)(C(C)C)C12	InChI=1S/C28H38O6/c1-8-19(5)25(29)33-22-15-18(4)16-23(27(6)13-14-28(31,17(2)3)24(22)27)34-26(30)20-9-11-21(32-7)12-10-20/h8-12,16-17,22-24,31H,13-15H2,1-7H3	MS000222877		C28H38O6	470.606	470.2668	55.2								
p1878	501.4	339.3	13.9	40	30	cryptocaryol E	Lipid	putative	CCCCCCCCCCCCCCCC(O)CC(O)CC(O)CC(O)CC1OC(=O)C=CC1O	InChI=1S/C28H52O7/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-22(29)18-23(30)19-24(31)20-25(32)21-27-26(33)16-17-28(34)35-27/h16-17,22-27,29-33H,2-15,18-21H2,1H3	MS000131366		C28H52O7	500.717	500.3713	42.9								
p0994	579.2	127.1	5.2	40	30	catechin [6'?8]-catechin|catechin-(8->6')-catechin	Flavonoid	putative	Oc1cc(O)c2c(c1)OC(c1cc(O)c(O)cc1-c1c(O)cc(O)c3c1OC(c1ccc(O)c(O)c1)C(O)C3)C(O)C2	InChI=1S/C30H26O12/c31-12-4-18(33)15-8-25(40)29(41-26(15)5-12)14-7-22(37)21(36)6-13(14)27-23(38)10-19(34)16-9-24(39)28(42-30(16)27)11-1-2-17(32)20(35)3-11/h1-7,10,24-25,28-29,31-40H,8-9H2	MS000039289		C30H26O12	578.526	578.1424	87.1								
p2387	549.4	191.1	6.6	40	30	14-Hydroxy-3beta(O3-methyl-beta-D-fucopyranosyloxy)-11-oxo-5beta,14beta-card-20(22)-enolid	Other	putative	COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3C(=O)CC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1O	InChI=1S/C30H44O9/c1-15-24(33)26(36-4)25(34)27(38-15)39-18-7-9-28(2)17(12-18)5-6-20-23(28)21(31)13-29(3)19(8-10-30(20,29)35)16-11-22(32)37-14-16/h11,15,17-20,23-27,33-35H,5-10,12-14H2,1-4H3	MS000189443		C30H44O9	548.673	548.2985	171.9								
p1693	635.3	207.2	8	40	30	4-hydroxy-phenylpropenyl-alpha-L-rhamnopyranosyl-(1->3)-4-O-feruloyl-beta-D-glucopyranoside	Polyphenol	putative	COc1cc(C=CC(=O)OC2C(CO)OC(OCC=Cc3ccc(O)cc3)C(O)C2OC2OC(C)C(O)C(O)C2O)ccc1O	InChI=1S/C31H38O14/c1-16-24(36)25(37)26(38)31(42-16)45-29-27(39)30(41-13-3-4-17-5-9-19(33)10-6-17)43-22(15-32)28(29)44-23(35)12-8-18-7-11-20(34)21(14-18)40-2/h3-12,14,16,22,24-34,36-39H,13,15H2,1-2H3	MS000112489		C31H38O14	634.631	634.2262	104.9								
p2371	525.4	177.2	11.9	40	30	13alpha-acetoxy-5-alpha-cinnamoyloxy-11(15-1)abeotaxa-4(20),11-diene-9alpha,10beta,15-triol	Polyphenol	putative	C=C1C(OC(=O)C=Cc2ccccc2)CCC2(C)C1CC1(C(C)(C)O)CC(OC(C)=O)C(C)=C1C(O)C2O	InChI=1S/C31H40O7/c1-18-22-16-31(29(4,5)36)17-24(37-20(3)32)19(2)26(31)27(34)28(35)30(22,6)15-14-23(18)38-25(33)13-12-21-10-8-7-9-11-21/h7-13,22-24,27-28,34-36H,1,14-17H2,2-6H3	MS000186845		C31H40O7	524.654	524.2774	220								
p1821	686.3	249.2	7.4	40	30	6-O-methyl-N-deacetyl-6"-O-alpha-D-glucopyranosylisoipecosidic acid	Flavonoid	putative	C=CC1C(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)OC=C(C(=O)O)C1CC1NCCc2cc(OC)c(O)cc21	InChI=1S/C31H43NO16/c1-3-13-15(7-17-14-8-18(34)19(43-2)6-12(14)4-5-32-17)16(28(41)42)10-44-29(13)48-31-27(40)25(38)23(36)21(47-31)11-45-30-26(39)24(37)22(35)20(9-33)46-30/h3,6,8,10,13,15,17,20-27,29-40H,1,4-5,7,9,11H2,2H3,(H,41,42)	MS000125596		C31H43NO16	685.676	685.2582	50.4								
p2552	679.5	263.3	12.9	40	30	18-O-alpha-L-rhamnopyranosyl-18S-hydroxyneodihydroprotolichesterinate 21-O-beta-D-glucopyranoside	Lipid	putative	CC(CCCCCCCCCCCCCC1OC(=O)C(C)C1C(=O)OC1OC(CO)C(O)C(O)C1O)OC1OC(C)C(O)C(O)C1O	InChI=1S/C33H58O14/c1-18(43-32-28(39)26(37)24(35)20(3)44-32)15-13-11-9-7-5-4-6-8-10-12-14-16-21-23(19(2)30(41)45-21)31(42)47-33-29(40)27(38)25(36)22(17-34)46-33/h18-29,32-40H,4-17H2,1-3H3	MS000214615		C33H58O14	678.813	678.3827	162.2								
p1494	681.5	339.4	14	40	30	gingerglycolipid C	Lipid	putative	CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O	InChI=1S/C33H60O14/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-25(36)43-19-22(35)20-44-32-31(42)29(40)27(38)24(47-32)21-45-33-30(41)28(39)26(37)23(18-34)46-33/h9-10,22-24,26-35,37-42H,2-8,11-21H2,1H3	MS000092987		C33H60O14	680.829	680.3983	138.8								
p1058	711.2	147.1	6.6	40	30	kaempherol 3-O-(2''-E-p-coumaroyl)-alpha-L-arabinofuranoside-7-O-alpha-L-rhamnopyranoside	Flavonoid	putative	CC1OC(Oc2cc(O)c3c(=O)c(OC4OC(CO)C(O)C4OC(=O)C=Cc4ccc(O)cc4)c(-c4ccc(O)cc4)oc3c2)C(O)C(O)C1O	InChI=1S/C35H34O16/c1-15-26(41)29(44)30(45)34(46-15)47-20-12-21(39)25-22(13-20)48-31(17-5-9-19(38)10-6-17)32(28(25)43)51-35-33(27(42)23(14-36)49-35)50-24(40)11-4-16-2-7-18(37)8-3-16/h2-13,15,23,26-27,29-30,33-39,41-42,44-45H,14H2,1H3	MS000046110		C35H34O16	710.641	710.1847	11.3								
p1809	771.2	207.1	6.6	40	30	isorhamnetin 3-O-alpha-L-[6'''-p-coumaroyl-(beta-D)-glucopyranosyl-(1,2)-rhamnopyranoside]	Flavonoid	putative	COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2OC2OC(C)C(O)C(O)C2OC2OC(COC(=O)C=Cc3ccc(O)cc3)C(O)C(O)C2O)ccc1O	InChI=1S/C37H38O18/c1-15-27(43)31(47)35(55-36-32(48)30(46)28(44)24(53-36)14-50-25(42)10-5-16-3-7-18(38)8-4-16)37(51-15)54-34-29(45)26-21(41)12-19(39)13-23(26)52-33(34)17-6-9-20(40)22(11-17)49-2/h3-13,15,24,27-28,30-32,35-41,43-44,46-48H,14H2,1-2H3	MS000124168		C37H38O18	770.693	770.2058	16.9								
p2661	789.3	207.1	8	40	30	hazaleanin B	Polyphenol	putative	COc1cc(C=CC(=O)OCC2OC(OCC3C(CO)Cc4cc(OC)c(O)c(OC)c4C3c3cc(OC)c(O)c(OC)c3)C(O)C(O)C2O)cc(OC)c1O	InChI=1S/C39H48O17/c1-48-23-9-18(10-24(49-2)32(23)42)7-8-29(41)54-17-28-34(44)36(46)37(47)39(56-28)55-16-22-21(15-40)11-19-12-27(52-5)35(45)38(53-6)31(19)30(22)20-13-25(50-3)33(43)26(14-20)51-4/h7-10,12-14,21-22,28,30,34,36-37,39-40,42-47H,11,15-17H2,1-6H3	MS000230167		C39H48O17	788.796	788.2892	4.5								
p2198	889.3	207.1	6.5	40	30	trichosanthoside B	Polyphenol	putative	CC1OC(OC2C(O)C(OCCc3ccc(O)c(O)c3)OC(COC3OCC(O)C(O)C3O)C2OC(=O)C=Cc2ccc(O)c(O)c2)C(O)C(O)C1OC1OCC(O)C(O)C1O	InChI=1S/C39H52O23/c1-15-33(61-37-30(51)27(48)23(45)13-56-37)28(49)31(52)39(58-15)62-35-32(53)38(54-9-8-17-3-6-19(41)21(43)11-17)59-24(14-57-36-29(50)26(47)22(44)12-55-36)34(35)60-25(46)7-4-16-2-5-18(40)20(42)10-16/h2-7,10-11,15,22-24,26-45,47-53H,8-9,12-14H2,1H3	MS000163920		C39H52O23	888.822	888.2899	3.2								
p1740	841.4	263.2	13.1	40	30	1-O-(9Z,12Z-octadecadienoyl)-3-O-[beta-D-galactopyranosyl-(1->6)-O-beta-D-galactopyranosyl-(1->6)-O-beta-D-galactopyranosyl]glycerol	Lipid	putative	CCCCCC=CCC=CCCCCCCCC(=O)OCC(O)COC1OC(COC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O	InChI=1S/C39H68O19/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-27(42)52-19-23(41)20-53-37-35(50)32(47)29(44)25(57-37)22-55-39-36(51)33(48)30(45)26(58-39)21-54-38-34(49)31(46)28(43)24(18-40)56-38/h6-7,9-10,23-26,28-41,43-51H,2-5,8,11-22H2,1H3	MS000116261		C39H68O19	840.954	840.4355	50.9								
p2651	697.3	188.1	4.7	40	30	5''',3''''-(2'''',2'''''-dihydroxydibenzyl)iso-diuvaretin	Polyphenol	putative	COc1c(Cc2ccccc2O)c(O)c(Cc2cc(Cc3cccc(Cc4ccccc4O)c3O)ccc2O)c(O)c1C(=O)CCc1ccccc1	InChI=1S/C44H40O8/c1-52-44-35(25-30-13-6-8-17-37(30)46)42(50)34(43(51)40(44)39(48)21-18-27-10-3-2-4-11-27)26-33-23-28(19-20-38(33)47)22-31-14-9-15-32(41(31)49)24-29-12-5-7-16-36(29)45/h2-17,19-20,23,45-47,49-51H,18,21-22,24-26H2,1H3	MS000229332		C44H40O8	696.796	696.2723	29.4								
p0894	134.2	74.2	1.3	40	30	(2S.4S)-(+)-gamma-Hydroxynorvalin	Amino acid derivative	putative	CC(O)CC(N)C(=O)O	InChI=1S/C5H11NO3/c1-3(7)2-4(6)5(8)9/h3-4,7H,2,6H2,1H3,(H,8,9)	MS000029017		C5H11NO3	133.147	133.0739	893.1								
p0015	133.1	87	2.4	40	30	2-Hydroxycaproic acid	Organic acid	putative	CCCCC(O)C(=O)O	InChI=1S/C6H12O3/c1-2-3-4-5(7)6(8)9/h5,7H,2-4H2,1H3,(H,8,9)	MS000000136		C6H12O3	132.159	132.0786	107.1								
p2669	180.1	85.1	1.2	40	30	Amino-6-deoxyglucose	Sugar	putative	NCC1OC(O)C(O)C(O)C1O	InChI=1S/C6H13NO5/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-6,8-11H,1,7H2	MS000231372		C6H13NO5	179.172	179.0794	74.5								
p1826	144.1	70.1	1.3	40	30	(S)-4-Oxo-2-piperidinecarboxylic acid	Other	putative	O=C1CCNC(C(=O)O)C1	InChI=1S/C6H9NO3/c8-4-1-2-7-5(3-4)6(9)10/h5,7H,1-3H2,(H,9,10)	MS000125923		C6H9NO3	143.142	143.0582	241.5								
p2146	176.1	98.1	1.3	40	30	L-alpha-aminopimelic acid	Amino acid derivative	putative	NC(CCCCC(=O)O)C(=O)O	InChI=1S/C7H13NO4/c8-5(7(11)12)3-1-2-4-6(9)10/h5H,1-4,8H2,(H,9,10)(H,11,12)	MS000157881		C7H13NO4	175.184	175.0845	47.1								
p2503	146.2	86.2	4.2	40	30	(2S,4S)-homoisoleucine	Amino acid derivative	putative	CCC(C)CC(N)C(=O)O	InChI=1S/C7H15NO2/c1-3-5(2)4-6(8)7(9)10/h5-6H,3-4,8H2,1-2H3,(H,9,10)	MS000206921		C7H15NO2	145.202	145.1103	568.2								
p1716	120.1	65.1	4.3	40	30	Nitrile-4-Hydroxybenzoic acid	Other	putative	N#Cc1ccc(O)cc1	InChI=1S/C7H5NO/c8-5-6-1-3-7(9)4-2-6/h1-4,9H	MS000114205		C7H5NO	119.123	119.0371	467.5								
p1875	171.1	111.1	4.3	40	30	2-Methoxy-5-hydroxymethyl-resorcinmethoxybenzylalkohol|5-(hydroxymethyl)-2-methoxybenzene-1,3-diol	Polyphenol	putative	COc1c(O)cc(CO)cc1O	InChI=1S/C8H10O4/c1-12-8-6(10)2-5(4-9)3-7(8)11/h2-3,9-11H,4H2,1H3	MS000130535		C8H10O4	170.164	170.0579	204.9								
p1609	119.1	91.1	12.2	40	30	Indane	Amino acid derivative	putative	c1ccc2c(c1)CCC2	InChI=1S/C9H10/c1-2-5-9-7-3-6-8(9)4-1/h1-2,4-5H,3,6-7H2	MS000104406		C9H10	118.179	118.0783	122.4								
p2275	185.1	153.1	5.4	40	30	(+)-buergerinin|buergerinin G|buergerinin G2	Other	putative	CC12CC3OC(=O)CC3(CCO1)O2	InChI=1S/C9H12O4/c1-8-4-6-9(13-8,2-3-11-8)5-7(10)12-6/h6H,2-5H2,1H3	MS000174494		C9H12O4	184.191	184.0736	104								
p0555	172.2	109.1	15.7	40	30	(Z)-3-aminonon-5-enoic acid	Lipid	putative	CCCC=CCC(N)CC(=O)O	InChI=1S/C9H17NO2/c1-2-3-4-5-6-8(10)7-9(11)12/h4-5,8H,2-3,6-7,10H2,1H3,(H,11,12)	MS000013093		C9H17NO2	171.24	171.1259	390.6								
p0657	219.2	72.1	1.3	40	30	Isoleucylserine	Amino acid derivative	putative	CCC(C)C(N)C(=O)NC(CO)C(=O)O	InChI=1S/C9H18N2O4/c1-3-5(2)7(10)8(13)11-6(4-12)9(14)15/h5-7,12H,3-4,10H2,1-2H3,(H,11,13)(H,14,15)	MS000015202		C9H18N2O4	218.253	218.1267	302.8								
n13482-2	138.1	120	6.7	10	20	4-Pyridineacetic acid	Other	putative	O=C(O)Cc1ccncc1	InChI=1S/C7H7NO2/c9-7(10)5-6-1-3-8-4-2-6/h1-4H,5H2,(H,9,10)	MS000000218		C7H7NO2	137.138	137.0477	328.7	H+	138.055	120	93.1	96	65	67	78
mr293	229.2	142.1	1.6	70	60	Leucylproline	Amino acid derivative	putative	CC(C)CC(N)C(=O)N1CCCC1C(=O)O	InChI=1S/C11H20N2O3/c1-7(2)6-8(12)10(14)13-5-3-4-9(13)11(15)16/h7-9H,3-6,12H2,1-2H3,(H,15,16)	MS000000400		C11H20N2O3	228.292	228.1474	198.8	H+	229.1546	142.1	70.1	60.1	58.1	124.1	114.1
